Instance,Method,Alg_Size,OPT_Size,RelErr
small11,Approx,5,4,0.25
small16,Approx,3,2,0.5
small17,Approx,3,2,0.5
small10,Approx,3,2,0.5
small18,Approx,3,2,0.5
small12,Approx,4,3,0.3333
small15,Approx,3,2,0.5
small14,Approx,3,2,0.5
small13,Approx,3,2,0.5
small8,Approx,3,2,0.5
large7,Approx,172,95,0.8105
large11,Approx,56,40,0.4
test1,Approx,2,2,0.0
large8,Approx,6,5,0.2
small7,Approx,4,3,0.3333
large9,Approx,16,14,0.1429
small6,Approx,4,3,0.3333
large1,Approx,83,50,0.66
large10,Approx,319,221,0.4434
small1,Approx,5,5,0.0
small9,Approx,4,3,0.3333
large6,Approx,7,6,0.1667
small3,Approx,6,5,0.2
large12,Approx,18,15,0.2
large4,Approx,153,91,0.6813
test5,Approx,5,4,0.25
small4,Approx,5,4,0.25
test2,Approx,3,2,0.5
large3,Approx,17,15,0.1333
large2,Approx,21,19,0.1053
test3,Approx,7,6,0.1667
small5,Approx,6,5,0.2
test4,Approx,5,4,0.25
large5,Approx,8,6,0.3333
small2,Approx,4,3,0.3333
